id;Title;Genre;Premiere;Runtime;IMDB_Score;Language
324;Altered Carbon: Resleeved;Anime/Science fiction;19.03.2020;74;6.5;Japanese
325;Antoine Griezmann: The Making of a Legend;Documentary;21.03.2019;60;6.5;French
326;Canvas ;Animation / Short;11.12.2020;9;6.5;English
327;Chadwick Boseman: Portrait of an Artist;Documentary;17.04.2021;21;6.5;English
328;Chopsticks;Comedy;31.05.2019;100;6.5;Hindi
329;Da 5 Bloods;War drama;12.06.2020;155;6.5;English
330;Dolly Parton: A MusiCares Tribute;Documentary;07.04.2021;55;6.5;English
331;Eurovision Song Contest: The Story of Fire Saga;Musical comedy;26.06.2020;123;6.5;English
332;Gerald's Game;Horror thriller;29.09.2017;103;6.5;English
333;His House;Thriller;30.10.2020;93;6.5;English
334;Jingle Jangle: A Christmas Journey;Family/Christmas musical;13.11.2020;119;6.5;English
335;Life Overtakes Me;Documentary;14.06.2019;40;6.5;English/Swedish
336;Lust Stories;Drama;15.06.2018;120;6.5;Hindi
337;Monster;Drama;07.05.2021;98;6.5;English
338;Mowgli: Legend of the Jungle;Adventure;07.12.2018;104;6.5;English
339;Nobody Knows I'm Here;Drama;24.06.2020;91;6.5;Spanish
340;Nobody Speak: Trials of the Free Press;Documentary;23.06.2017;95;6.5;English
341;Oxygen;Science fiction thriller;12.05.2021;101;6.5;French
342;Set It Up;Romantic comedy;15.06.2018;105;6.5;English
343;The Incredible Jessica James;Comedy;28.07.2017;83;6.5;English
344;Tigertail;Drama;10.04.2020;91;6.5;English/Taiwanese/Mandarin
345;Tramps;Romance;21.04.2017;83;6.5;English
346;What Did Jack Do?;Drama / Short;20.01.2020;17;6.5;English
347;Bad Trip;Hidden-camera prank comedy;26.03.2021;86;6.6;English
348;Bird Box;Psychological thriller;21.12.2018;124;6.6;English
349;Bulbbul;Horror;24.06.2020;94;6.6;Hindi
350;Crazy About Her;Romantic comedy;26.02.2021;102;6.6;Spanish
351;Elisa & Marcela;Romance;07.06.2019;118;6.6;Spanish
352;I'll Sleep When I'm Dead;Documentary;19.08.2016;79;6.6;English
353;I'm Thinking of Ending Things;Psychological thriller;04.09.2020;134;6.6;English
354;It Takes a Lunatic;Documentary;25.10.2019;126;6.6;English
355;Milestone;Drama;07.05.2021;98;6.6;Hindi
356;Recovery Boys;Documentary;29.06.2018;89;6.6;English
357;ReMastered: Who Killed Jam Master Jay?;Documentary;07.12.2018;58;6.6;English
358;Shawn Mendes: In Wonder;Documentary;23.11.2020;83;6.6;English
359;Space Sweepers;Science fiction;05.02.2021;136;6.6;Korean
360;The American Meme;Documentary;07.12.2018;98;6.6;English
361;The Angel;Spy thriller;14.09.2018;114;6.6;English
362;The Crimes That Bind;Crime drama;20.08.2020;99;6.6;Spanish
363;The Red Sea Diving Resort;Spy thriller;31.07.2019;130;6.6;English
364;What Would Sophia Loren Do?;Documentary;15.01.2021;32;6.6;English
365;A Whisker Away;Anime/Fantasy;18.06.2020;104;6.7;Japanese
366;Ajeeb Daastaans;Drama;16.04.2021;142;6.7;Hindi
367;Arlo the Alligator Boy;Animated musical comedy;16.04.2021;92;6.7;English
368;Bikram: Yogi, Guru, Predator;Documentary;20.11.2019;86;6.7;English
369;Blame!;Anime/Science fiction;20.05.2017;106;6.7;Japanese
370;Blue Miracle;Drama;27.05.2021;95;6.7;English
371;CounterPunch ;Documentary;16.06.2017;91;6.7;English
372;Crack: Cocaine, Corruption & Conspiracy;Documentary;11.01.2021;89;6.7;English
373;Extraction;Action;24.04.2020;117;6.7;English
374;Giving Voice;Documentary;11.12.2020;90;6.7;English
375;Hillbilly Elegy;Drama;24.11.2020;117;6.7;English
376;Hope Frozen: A Quest to Live Twice;Documentary;15.09.2020;80;6.7;Thia/English
377;Imperial Dreams;Drama;03.02.2017;87;6.7;English
378;Just Another Christmas;Comedy;03.12.2020;101;6.7;Portuguese
379;Little Miss Sumo;Documentary;28.10.2019;19;6.7;Japanese
380;Malcolm & Marie;Romantic drama;05.02.2021;106;6.7;English
381;Michael Bolton's Big, Sexy, Valentine's Day Special;Variety Show;07.02.2017;54;6.7;English
382;Moxie;Drama;03.03.2021;111;6.7;English
383;Night in Paradise;Drama;09.04.2021;132;6.7;Korean
384;Paper Lives;Drama;12.03.2021;97;6.7;Turkish
385;Parchis: The Documentary;Documentary;10.07.2019;106;6.7;Spanish
386;Tallulah;Comedy-drama;29.07.2016;111;6.7;English
387;The Old Guard;Superhero/Action;10.07.2020;124;6.7;English
388;Tony Robbins: I Am Not Your Guru;Documentary;15.07.2016;116;6.7;English
389;Upstarts;Drama;18.10.2019;112;6.7;Hindi
390;22 July;Drama;10.10.2018;144;6.8;English
391;7 años;Drama;28.10.2016;76;6.8;Spanish
392;A Futile and Stupid Gesture;Biographical/Comedy;26.01.2018;101;6.8;English
393;A Life of Speed: The Juan Manuel Fangio Story;Documentary;20.03.2020;92;6.8;Spanish
394;A Love Song for Latasha;Documentary;21.09.2020;19;6.8;English
395;All in My Family;Documentary;03.05.2019;39;6.8;English/Mandarin
396;Always Be My Maybe;Romantic comedy;31.05.2019;102;6.8;English
397;Becoming;Documentary;06.05.2020;89;6.8;English
398;Long Live Brij Mohan;Comedy;03.08.2018;105;6.8;Hindi
399;Calibre;Thriller;29.06.2018;101;6.8;English
400;Death to 2020;Comedy;27.12.2020;70;6.8;English
401;GIMS: On the Record;Documentary;17.09.2020;96;6.8;French
402;Have a Good Trip: Adventures in Psychedelics;Documentary;11.05.2020;85;6.8;English
403;Heroin(e) ;Documentary;12.09.2017;39;6.8;English
404;Mercury 13;Documentary;20.04.2018;79;6.8;English
405;Saving Capitalism;Documentary;21.11.2017;73;6.8;English
406;Serious Men;Drama;02.10.2020;114;6.8;Hindi
407;The Boys in the Band;Drama;30.09.2020;121;6.8;English
408;The Boys in the Band: Something Personal;Aftershow / Interview;30.09.2020;28;6.8;English
409;The Life Ahead;Drama;13.11.2020;95;6.8;Italian
410;The Other Side of the Wind;Drama;02.11.2018;122;6.8;English
411;The Trader;Documentary;09.02.2018;23;6.8;Georgian
412;To the Bone;Drama;14.07.2017;107;6.8;English
413;Tony Parker: The Final Shot;Documentary;06.01.2021;98;6.8;French
414;AK vs AK;Thriller;24.12.2020;108;6.9;Hindi
415;Amanda Knox;Documentary;30.09.2016;92;6.9;English
416;Bigflo & Oil: Hip Hop Frenzy;Documentary;08.10.2020;100;6.9;French
