id;Date;Open;High;Low;Close;Adj_Close;Volume
1176;24.01.2007;3.128571;3.285714;3.042857;3.250000;3.250000;44220400
1177;25.01.2007;3.415714;3.464286;3.245714;3.321429;3.321429;64389500
1178;26.01.2007;3.365714;3.371429;3.250000;3.307143;3.307143;13869800
1179;29.01.2007;3.180000;3.251429;3.151429;3.221429;3.221429;21761600
1180;30.01.2007;3.234286;3.280000;3.221429;3.275714;3.275714;8789200
1181;31.01.2007;3.254286;3.304286;3.242857;3.258571;3.258571;10256400
1182;01.02.2007;3.268571;3.300000;3.235714;3.247143;3.247143;7888300
1183;02.02.2007;3.250000;3.297143;3.242857;3.262857;3.262857;9864400
1184;05.02.2007;3.285714;3.285714;3.220000;3.228571;3.228571;5572700
1185;06.02.2007;3.214286;3.238571;3.165714;3.188571;3.188571;15805300
1186;07.02.2007;3.178571;3.294286;3.175714;3.271429;3.271429;11223800
1187;08.02.2007;3.354286;3.404286;3.301429;3.392857;3.392857;19541900
1188;09.02.2007;3.397143;3.397143;3.297143;3.301429;3.301429;7865200
1189;12.02.2007;3.290000;3.352857;3.284286;3.304286;3.304286;7119700
1190;13.02.2007;3.318571;3.321429;3.261429;3.271429;3.271429;4841900
1191;14.02.2007;3.271429;3.312857;3.171429;3.228571;3.228571;36174600
1192;15.02.2007;3.211429;3.242857;3.201429;3.214286;3.214286;8286600
1193;16.02.2007;3.217143;3.272857;3.197143;3.267143;3.267143;10532900
1194;20.02.2007;3.278571;3.371429;3.275714;3.358571;3.358571;12290600
1195;21.02.2007;3.360000;3.365714;3.317143;3.341429;3.341429;64801800
1196;22.02.2007;3.345714;3.411429;3.345714;3.392857;3.392857;8782900
1197;23.02.2007;3.394286;3.407143;3.357143;3.361429;3.361429;8375500
1198;26.02.2007;3.387143;3.402857;3.071429;3.304286;3.304286;6216700
1199;27.02.2007;3.252857;3.264286;3.157143;3.157143;3.157143;12520200
1200;28.02.2007;3.158571;3.272857;3.155714;3.218571;3.218571;8883000
1201;01.03.2007;3.194286;3.291429;3.157143;3.261429;3.261429;12429200
1202;02.03.2007;3.261429;3.285714;3.181429;3.184286;3.184286;8073100
1203;05.03.2007;3.144286;3.165714;3.007143;3.008571;3.008571;17101000
1204;06.03.2007;3.035714;3.130000;2.987143;3.062857;3.062857;14133000
1205;07.03.2007;3.071429;3.085714;3.010000;3.025714;3.025714;8599500
1206;08.03.2007;3.030000;3.090000;3.030000;3.034286;3.034286;6320300
1207;09.03.2007;3.071429;3.071429;2.981429;3.008571;3.008571;6686400
1208;12.03.2007;3.000000;3.030000;2.957143;3.011429;3.011429;6709500
1209;13.03.2007;3.000000;3.022857;2.928571;2.935714;2.935714;9384200
1210;14.03.2007;2.930000;3.021429;2.900000;3.015714;3.015714;8215900
1211;15.03.2007;3.024286;3.050000;2.984286;3.022857;3.022857;6435800
1212;16.03.2007;3.021429;3.031429;2.967143;3.002857;3.002857;6666100
1213;19.03.2007;3.015714;3.071429;3.011429;3.051429;3.051429;5712000
1214;20.03.2007;3.052857;3.255714;3.048571;3.211429;3.211429;15969100
1215;21.03.2007;3.221429;3.330000;3.168571;3.292857;3.292857;15977500
1216;22.03.2007;3.285714;3.322857;3.258571;3.300000;3.300000;5699400
1217;23.03.2007;3.285714;3.397143;3.275714;3.390000;3.390000;10215800
1218;26.03.2007;3.392857;3.400000;3.281429;3.322857;3.322857;7420700
1219;27.03.2007;3.332857;3.385714;3.320000;3.368571;3.368571;9218300
1220;28.03.2007;3.374286;3.374286;3.295714;3.340000;3.340000;5481700
1221;29.03.2007;3.344286;3.374286;3.268571;3.350000;3.350000;6681500
1222;30.03.2007;3.344286;3.407143;3.300000;3.312857;3.312857;5320700
1223;02.04.2007;3.328571;3.390000;3.312857;3.354286;3.354286;7243600
1224;03.04.2007;3.365714;3.445714;3.358571;3.397143;3.397143;8878100
1225;04.04.2007;3.411429;3.518571;3.338571;3.504286;3.504286;14124600
1226;05.04.2007;3.491429;3.497143;3.440000;3.457143;3.457143;5451600
1227;09.04.2007;3.461429;3.508571;3.461429;3.477143;3.477143;4174800
1228;10.04.2007;3.497143;3.570000;3.497143;3.551429;3.551429;8075200
1229;11.04.2007;3.531429;3.535714;3.475714;3.514286;3.514286;6979000
1230;12.04.2007;3.492857;3.557143;3.451429;3.514286;3.514286;5466300
1231;13.04.2007;3.510000;3.522857;3.485714;3.514286;3.514286;3591000
1232;16.04.2007;3.528571;3.542857;3.491429;3.502857;3.502857;4580100
1233;17.04.2007;3.514286;3.514286;3.405714;3.422857;3.422857;12124700
1234;18.04.2007;3.028571;3.184286;2.982857;3.100000;3.100000;54943000
1235;19.04.2007;3.018571;3.072857;2.997143;3.072857;3.072857;28145600
1236;20.04.2007;3.142857;3.164286;3.111429;3.157143;3.157143;12862500
1237;23.04.2007;3.147143;3.154286;3.091429;3.104286;3.104286;13811700
1238;24.04.2007;3.107143;3.121429;3.051429;3.088571;3.088571;8918000
1239;25.04.2007;3.101429;3.161429;3.054286;3.080000;3.080000;8402800
1240;26.04.2007;3.071429;3.180000;3.071429;3.161429;3.161429;9762200
1241;27.04.2007;3.171429;3.182857;3.132857;3.172857;3.172857;5637800
1242;30.04.2007;3.171429;3.181429;3.138571;3.167143;3.167143;9247700
1243;01.05.2007;3.161429;3.184286;3.117143;3.164286;3.164286;9521400
1244;02.05.2007;3.131429;3.277143;3.127143;3.158571;3.158571;18639600
1245;03.05.2007;3.147143;3.252857;3.141429;3.184286;3.184286;13815900
1246;04.05.2007;3.221429;3.224286;3.142857;3.165714;3.165714;6577900
1247;07.05.2007;3.165714;3.191429;3.162857;3.174286;3.174286;4162200
1248;08.05.2007;3.155714;3.202857;3.128571;3.162857;3.162857;5741400
1249;09.05.2007;3.144286;3.177143;3.137143;3.158571;3.158571;3988600
1250;10.05.2007;3.144286;3.158571;3.117143;3.130000;3.130000;7143500
1251;11.05.2007;3.108571;3.157143;3.091429;3.151429;3.151429;4809000
1252;14.05.2007;3.144286;3.157143;3.102857;3.137143;3.137143;4454100
1253;15.05.2007;3.134286;3.148571;3.088571;3.107143;3.107143;4726400
1254;16.05.2007;3.108571;3.141429;3.031429;3.102857;3.102857;5036500
1255;17.05.2007;3.081429;3.140000;3.074286;3.117143;3.117143;5142200
1256;18.05.2007;3.121429;3.144286;3.101429;3.134286;3.134286;4446400
1257;21.05.2007;3.130000;3.234286;3.122857;3.214286;3.214286;6663300
1258;22.05.2007;3.208571;3.301429;3.182857;3.285714;3.285714;7024500
1259;23.05.2007;3.284286;3.350000;3.257143;3.312857;3.312857;12280800
1260;24.05.2007;3.295714;3.347143;3.198571;3.220000;3.220000;6400800
1261;25.05.2007;3.230000;3.260000;3.201429;3.217143;3.217143;5974500
1262;29.05.2007;3.151429;3.157143;3.048571;3.121429;3.121429;11567500
1263;30.05.2007;3.092857;3.154286;3.081429;3.151429;3.151429;7326200
1264;31.05.2007;3.142857;3.182857;3.124286;3.128571;3.128571;7028000
1265;01.06.2007;3.120000;3.182857;3.050000;3.081429;3.081429;8029700
1266;04.06.2007;3.055714;3.090000;3.050000;3.068571;3.068571;5546100
1267;05.06.2007;3.052857;3.088571;3.030000;3.055714;3.055714;5884900
1268;06.06.2007;3.048571;3.254286;3.044286;3.228571;3.228571;33418000
1269;07.06.2007;3.257143;3.712857;3.254286;3.418571;3.418571;59103100
1270;08.06.2007;3.428571;3.442857;3.291429;3.347143;3.347143;14037800
1271;11.06.2007;3.178571;3.235714;3.115714;3.132857;3.132857;18034800
1272;12.06.2007;3.002857;3.044286;2.841429;2.868571;2.868571;40176500
1273;13.06.2007;2.785714;2.868571;2.721429;2.774286;2.774286;27407800
1274;14.06.2007;2.771429;2.794286;2.727143;2.740000;2.740000;11363100
1275;15.06.2007;2.864286;2.881429;2.802857;2.815714;2.815714;22093400
1276;18.06.2007;2.917143;2.921429;2.842857;2.860000;2.860000;12236000
1277;19.06.2007;2.891429;2.895714;2.842857;2.847143;2.847143;7909300
1278;20.06.2007;2.882857;2.891429;2.787143;2.792857;2.792857;6377700
1279;21.06.2007;2.791429;2.902857;2.787143;2.855714;2.855714;10077900
1280;22.06.2007;2.860000;2.874286;2.800000;2.811429;2.811429;7343000
